"id";"imdb_link";"title";"description";"imdb_score";"genre";"imdb_movie_poster"
58450;"http://www.imdb.com/title/tt58450";"The Umbrellas of Cherbourg (1964)";"";7.8;"Drama|Musical|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BZmMyNzg3MGYtZTllNS00MjVjLWI0NmQtMTZlNzBmZjBjZTZmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_UX182_CR0,0,182,268_AL_.jpg"
61395;"http://www.imdb.com/title/tt61395";"Belle de Jour (1967)";"";7.8;"Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMjhjYWVjZWItZmE3OS00ZTNmLWJhYTktZGM1YWZiNDgxNTU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR4,0,182,268_AL_.jpg"
76759;"http://www.imdb.com/title/tt76759";"Star Wars: Episode IV - A New Hope (1977)";"";8.7;"Action|Adventure|Fantasy";"https://images-na.ssl-images-amazon.com/images/M/MV5BYzQ2OTk4N2QtOGQwNy00MmI3LWEwNmEtOTk0OTY3NDk2MGJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX182_CR0,0,182,268_AL_.jpg"
94878;"http://www.imdb.com/title/tt94878";"Cienie (1988)";"";6.3;"Drama";""
103994;"http://www.imdb.com/title/tt103994";"Como agua para chocolate (1992)";"";7.2;"Drama|Romance";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDI3MTIyMF5BMl5BanBnXkFtZTcwMzg5NDEzMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
107447;"http://www.imdb.com/title/tt107447";"Love & Human Remains (1993)";"";6.7;"Drama|Comedy";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMzQ2OTk5OF5BMl5BanBnXkFtZTcwMDUxNDMzMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
107566;"http://www.imdb.com/title/tt107566";"Mi vida loca (1993)";"";6.5;"Crime|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BNTg4ODk5NTQyN15BMl5BanBnXkFtZTcwMDM1MjYyMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg"
109093;"http://www.imdb.com/title/tt109093";"Amateur (1994)";"";7.0;"Comedy|Crime|Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwNzE5OTkxMV5BMl5BanBnXkFtZTcwMzIxMjAwMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
109340;"http://www.imdb.com/title/tt109340";"The Browning Version (1994)";"";7.3;"Drama";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MjM0OTUwMF5BMl5BanBnXkFtZTcwMTg1NDAwMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
109370;"http://www.imdb.com/title/tt109370";"Canadian Bacon (1995)";"";5.9;"Comedy";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNDU0NzcwMl5BMl5BanBnXkFtZTcwNzk1NjAzNA@@._V1_UY268_CR0,0,182,268_AL_.jpg"
109445;"http://www.imdb.com/title/tt109445";"Clerks (1994)";"";7.8;"Comedy";"https://images-na.ssl-images-amazon.com/images/M/MV5BNzE1Njk0NmItNDhlMC00ZmFlLWI4ZTUtYTY4ZjgzNjkyMTU1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg"
109508;"http://www.imdb.com/title/tt109508";"Crumb (1994)";"";8.0;"Documentary|Biography|Comedy";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MzcxODgwMl5BMl5BanBnXkFtZTcwMjU1NzE1Mw@@._V1_UY268_CR3,0,182,268_AL_.jpg"
109579;"http://www.imdb.com/title/tt109579";"Death and the Maiden (1994)";"";7.3;"Drama|Mystery|Thriller";"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyODAxOTUzN15BMl5BanBnXkFtZTcwNDE0ODMyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg"
